21 21 21
2 10 4 0.0072686
2 10 5 0.0070077
2 10 6 0.0067248
2 10 7 0.0064316
2 10 8 0.0061373
2 10 9 0.0058484
2 10 10 0.0055695
3 0 0 0.0275451
3 0 1 0.0255231
3 0 2 0.0220752
3 0 3 0.0187148
3 0 4 0.0158989
3 0 5 0.0136517
3 0 6 0.0118760
3 0 7 0.0104645
3 0 8 0.0093285
3 0 9 0.0084011
3 0 10 0.0076331
3 1 0 0.0255231
3 1 1 0.0240326
3 1 2 0.0211577
3 1 3 0.0181703
3 1 4 0.0155696
3 1 5 0.0134448
3 1 6 0.0117405
3 1 7 0.0103722
3 1 8 0.0092633
3 1 9 0.0083536
3 1 10 0.0075975
3 2 0 0.0220752
3 2 1 0.0211577
3 2 2 0.0191440
3 2 3 0.0168521
3 2 4 0.0147176
3 2 5 0.0128858
3 2 6 0.0113639
3 2 7 0.0101106
3 2 8 0.0090762
3 2 9 0.0082160
3 2 10 0.0074939
3 3 0 0.0187148
3 3 1 0.0181703
3 3 2 0.0168521
3 3 3 0.0152193
3 3 4 0.0135865
3 3 5 0.0121033
3 3 6 0.0108154
3 3 7 0.0097185
3 3 8 0.0087896
3 3 9 0.0080019
3 3 10 0.0073306
3 4 0 0.0158989
3 4 1 0.0155696
3 4 2 0.0147176
3 4 3 0.0135865
3 4 4 0.0123806
3 4 5 0.0112232
3 4 6 0.0101715
3 4 7 0.0092424
3 4 8 0.0084325
3 4 9 0.0077297
3 4 10 0.0071197
3 5 0 0.0136517
3 5 1 0.0134448
3 5 2 0.0128858
3 5 3 0.0121033
3 5 4 0.0112232
3 5 5 0.0103361
3 5 6 0.0094949
3 5 7 0.0087248
3 5 8 0.0080332
3 5 9 0.0074185
3 5 10 0.0068742
3 6 0 0.0118760
3 6 1 0.0117405
3 6 2 0.0113639
3 6 3 0.0108154
3 6 4 0.0101715
3 6 5 0.0094949
3 6 6 0.0088288
3 6 7 0.0081984
3 6 8 0.0076160
3 6 9 0.0070858
3 6 10 0.0066068
3 7 0 0.0104645
3 7 1 0.0103722
3 7 2 0.0101106
3 7 3 0.0097185
3 7 4 0.0092424
3 7 5 0.0087248
3 7 6 0.0081984
3 7 7 0.0076853
3 7 8 0.0071988
3 7 9 0.0067457
3 7 10 0.0063283
3 8 0 0.0093285
3 8 1 0.0092633
3 8 2 0.0090762
3 8 3 0.0087896
3 8 4 0.0084325
3 8 5 0.0080332
3 8 6 0.0076160
3 8 7 0.0071988
3 8 8 0.0067939
3 8 9 0.0064087
3 8 10 0.0060474
3 9 0 0.0084011
3 9 1 0.0083536
3 9 2 0.0082160
3 9 3 0.0080019
3 9 4 0.0077297
3 9 5 0.0074185
3 9 6 0.0070858
3 9 7 0.0067457
3 9 8 0.0064087
3 9 9 0.0060822
3 9 10 0.0057705
3 10 0 0.0076331
3 10 1 0.0075975
3 10 2 0.0074939
3 10 3 0.0073306
3 10 4 0.0071197
3 10 5 0.0068742
3 10 6 0.0066068
3 10 7 0.0063283
3 10 8 0.0060474
3 10 9 0.0057705
3 10 10 0.0055022
4 0 0 0.0202889
4 0 1 0.0195217
4 0 2 0.0178426
4 0 3 0.0158989
4 0 4 0.0140453
4 0 5 0.0124158
4 0 6 0.0110326
4 0 7 0.0098732
4 0 8 0.0089026
4 0 9 0.0080863
4 0 10 0.0073950
4 1 0 0.0195217
4 1 1 0.0188688
4 1 2 0.0173652
4 1 3 0.0155696
4 1 4 0.0138211
4 1 5 0.0122618
4 1 6 0.0109249
4 1 7 0.0097962
4 1 8 0.0088462
4 1 9 0.0080441
4 1 10 0.0073628
4 2 0 0.0178426
4 2 1 0.0173652
4 2 2 0.0161930
4 2 3 0.0147176
4 2 4 0.0132183
4 2 5 0.0118366
4 2 6 0.0106217
4 2 7 0.0095763
4 2 8 0.0086836
4 2 9 0.0079215
4 2 10 0.0072686
4 3 0 0.0158989
4 3 1 0.0155696
4 3 2 0.0147176
4 3 3 0.0135865
4 3 4 0.0123806
4 3 5 0.0112232
4 3 6 0.0101715
4 3 7 0.0092424
4 3 8 0.0084325
4 3 9 0.0077297
4 3 10 0.0071197
4 4 0 0.0140453
4 4 1 0.0138211
4 4 2 0.0132183
4 4 3 0.0123806
4 4 4 0.0114459
4 4 5 0.0105111
4 4 6 0.0096313
4 4 7 0.0088310
4 4 8 0.0081163
4 4 9 0.0074839
4 4 10 0.0069263
4 5 0 0.0124158
4 5 1 0.0122618
4 5 2 0.0118366
4 5 3 0.0112232
4 5 4 0.0105111
4 5 5 0.0097716
4 5 6 0.0090514
4 5 7 0.0083767
4 5 8 0.0077589
4 5 9 0.0072008
4 5 10 0.0067000
4 6 0 0.0110326
4 6 1 0.0109249
4 6 2 0.0106217
4 6 3 0.0101715
4 6 4 0.0096313
4 6 5 0.0090514
4 6 6 0.0084689
4 6 7 0.0079078
4 6 8 0.0073813
4 6 9 0.0068956
4 6 10 0.0064519
4 7 0 0.0098732
4 7 1 0.0097962
4 7 2 0.0095763
4 7 3 0.0092424
4 7 4 0.0088310
4 7 5 0.0083767
4 7 6 0.0079078
4 7 7 0.0074445
4 7 8 0.0069998
4 7 9 0.0065811
4 7 10 0.0061919
4 8 0 0.0089026
4 8 1 0.0088462
4 8 2 0.0086836
4 8 3 0.0084325
4 8 4 0.0081163
4 8 5 0.0077589
4 8 6 0.0073813
4 8 7 0.0069998
4 8 8 0.0066259
4 8 9 0.0062672
4 8 10 0.0059281
4 9 0 0.0080863
4 9 1 0.0080441
4 9 2 0.0079215
4 9 3 0.0077297
4 9 4 0.0074839
4 9 5 0.0072008
4 9 6 0.0068956
4 9 7 0.0065811
4 9 8 0.0062672
4 9 9 0.0059609
4 9 10 0.0056667
4 10 0 0.0073950
4 10 1 0.0073628
4 10 2 0.0072686
4 10 3 0.0071197
4 10 4 0.0069263
4 10 5 0.0067000
4 10 6 0.0064519
4 10 7 0.0061919
4 10 8 0.0059281
4 10 9 0.0056667
4 10 10 0.0054120
