Refractive index of gold (Made on 10-13-21)
1 2 3 0 0 = specifies whether N or epsilon are read in (see manual)
lambda [um]	n	k
1.018	0.23729	6.60668
1.019	0.23776	6.61437
1.020	0.23823	6.62206
1.021	0.23869	6.62976
1.022	0.23915	6.63746
1.023	0.23961	6.64517
1.024	0.24007	6.65288
1.025	0.24053	6.66059
1.026	0.24098	6.66831
1.027	0.24144	6.67604
1.028	0.24189	6.68377
1.029	0.24235	6.69150
1.030	0.24280	6.69924
1.031	0.24325	6.70698
1.032	0.24370	6.71472
1.033	0.24415	6.72247
1.034	0.24460	6.73022
1.035	0.24505	6.73798
1.036	0.24550	6.74574
1.037	0.24595	6.75350
1.038	0.24640	6.76127
1.039	0.24685	6.76904
1.040	0.24729	6.77681
1.041	0.24774	6.78459
1.042	0.24819	6.79237
1.043	0.24864	6.80015
1.044	0.24909	6.80793
1.045	0.24953	6.81572
1.046	0.24998	6.82351
1.047	0.25043	6.83131
1.048	0.25088	6.83910
1.049	0.25133	6.84690
1.050	0.25178	6.85470
1.051	0.25223	6.86250
1.052	0.25269	6.87031
1.053	0.25314	6.87811
1.054	0.25359	6.88592
1.055	0.25405	6.89373
1.056	0.25451	6.90155
1.057	0.25496	6.90936
1.058	0.25542	6.91718
1.059	0.25588	6.92499
1.060	0.25634	6.93281
1.061	0.25681	6.94063
1.062	0.25727	6.94845
1.063	0.25774	6.95628
1.064	0.25820	6.96410
1.065	0.25867	6.97193
1.066	0.25914	6.97975
1.067	0.25962	6.98758
1.068	0.26009	6.99541
1.069	0.26057	7.00323
1.070	0.26105	7.01106
1.071	0.26153	7.01889
1.072	0.26202	7.02672
1.073	0.26250	7.03455
1.074	0.26299	7.04238
1.075	0.26348	7.05021
1.076	0.26398	7.05804
1.077	0.26447	7.06588
1.078	0.26497	7.07371
1.079	0.26547	7.08154
1.080	0.26598	7.08937
1.081	0.26649	7.09720
1.082	0.26700	7.10503
1.083	0.26751	7.11285
1.084	0.26803	7.12068
1.085	0.26855	7.12851
1.086	0.26908	7.13634
1.087	0.26960	7.14416
1.088	0.27014	7.15199
1.089	0.27067	7.15981
1.090	0.27121	7.16763
1.091	0.27175	7.17546
1.092	0.27230	7.18328
1.093	0.27284	7.19110
1.094	0.27340	7.19892
1.095	0.27395	7.20673
1.096	0.27451	7.21455
1.097	0.27507	7.22237
1.098	0.27564	7.23018
1.099	0.27620	7.23799
1.100	0.27677	7.24581
1.101	0.27735	7.25362
1.102	0.27792	7.26143
1.103	0.27850	7.26924
1.104	0.27909	7.27705
1.105	0.27967	7.28486
1.106	0.28026	7.29267
1.107	0.28085	7.30047
1.108	0.28144	7.30828
1.109	0.28204	7.31608
1.110	0.28264	7.32389
1.111	0.28324	7.33169
1.112	0.28384	7.33949
1.113	0.28445	7.34729
1.114	0.28505	7.35509
1.115	0.28566	7.36289
1.116	0.28628	7.37069
1.117	0.28689	7.37849
1.118	0.28751	7.38628
1.119	0.28812	7.39408
1.120	0.28875	7.40188
1.121	0.28937	7.40967
1.122	0.28999	7.41746
1.123	0.29062	7.42526
1.124	0.29125	7.43305
1.125	0.29188	7.44084
1.126	0.29251	7.44863
1.127	0.29314	7.45642
1.128	0.29378	7.46421
1.129	0.29441	7.47199
1.130	0.29505	7.47978
1.131	0.29569	7.48757
1.132	0.29633	7.49535
1.133	0.29697	7.50314
1.134	0.29762	7.51092
1.135	0.29826	7.51870
1.136	0.29891	7.52649
1.137	0.29956	7.53427
1.138	0.30021	7.54205
1.139	0.30085	7.54983
1.140	0.30151	7.55761
1.141	0.30216	7.56539
1.142	0.30281	7.57317
1.143	0.30346	7.58094
1.144	0.30412	7.58872
1.145	0.30477	7.59650
1.146	0.30543	7.60427
1.147	0.30608	7.61205
1.148	0.30674	7.61982
1.149	0.30740	7.62759
1.150	0.30806	7.63537
1.151	0.30872	7.64314
1.152	0.30937	7.65091
1.153	0.31003	7.65868
1.154	0.31069	7.66645
1.155	0.31135	7.67422
1.156	0.31201	7.68199
1.157	0.31267	7.68976
1.158	0.31333	7.69752
1.159	0.31400	7.70529
1.160	0.31466	7.71306
1.161	0.31532	7.72082
1.162	0.31598	7.72859
1.163	0.31664	7.73635
1.164	0.31730	7.74412
1.165	0.31796	7.75188
1.166	0.31862	7.75964
1.167	0.31928	7.76741
1.168	0.31994	7.77517
1.169	0.32060	7.78293
1.170	0.32125	7.79069
1.171	0.32191	7.79845
1.172	0.32257	7.80621
1.173	0.32322	7.81397
1.174	0.32388	7.82173
1.175	0.32454	7.82948
1.176	0.32519	7.83724
1.177	0.32584	7.84500
1.178	0.32650	7.85276
1.179	0.32715	7.86051
1.180	0.32780	7.86827
1.181	0.32845	7.87602
1.182	0.32910	7.88378
1.183	0.32974	7.89153
1.184	0.33039	7.89929
1.185	0.33104	7.90704
1.186	0.33168	7.91479
1.187	0.33232	7.92254
1.188	0.33296	7.93030
1.189	0.33360	7.93805
1.190	0.33424	7.94580
1.191	0.33488	7.95355
1.192	0.33552	7.96130
1.193	0.33615	7.96905
1.194	0.33678	7.97680
1.195	0.33741	7.98455
1.196	0.33804	7.99230
1.197	0.33867	8.00004
1.198	0.33929	8.00779
1.199	0.33991	8.01554
1.200	0.34054	8.02329
1.201	0.34115	8.03103
1.202	0.34177	8.03878
1.203	0.34239	8.04653
